Index	Name	Type	Nullable	References	Description
1	conname	name			"constraint name (not necessarily unique!)"
2	connamespace	oid		pg_namespace.oid	"the oid of the namespace that contains this constraint"
3	contype	char			"c = check constraint, f = foreign key constraint, p = primary key constraint, u = unique constraint"
4	condeferrable	bool			"is the constraint deferrable?"
5	condeferred	bool			"is the constraint deferred by default?"
6	conrelid	oid		pg_class.oid	"the table this constraint is on; 0 if not a table constraint"
7	contypid	oid		pg_type.oid	"the domain this constraint is on; 0 if not a domain constraint"
8	confrelid	oid		pg_class.oid	"if a foreign key, the referenced table; else 0"
9	confupdtype	char			"foreign key update action code"
10	confdeltype	char			"foreign key deletion action code"
11	confmatchtype	char			"foreign key match type"
12	conkey	int2[]		pg_attribute.attnum	"if a table constraint, list of columns which the constraint constrains"
13	confkey	int2[]		pg_attribute.attnum	"if a foreign key, list of the referenced columns"
14	conbin	text			"if a check constraint, an internal representation of the expression"
15	consrc	text			"if a check constraint, a human-readable representation of the expression"
