Index	Name	Type	References	Description
0	conname	NAME			"conversion name (unique within a namespace)"
1	connamespace	OID		pg_namespace.oid	"the oid of the namespace that contains this conversion"
2	conowner	INT4		pg_shadow.usesysid	"owner of the conversion"
3	conforencoding	INT4			"source encoding id"
4	contoencoding	INT4			"destination encoding id"
5	conproc	REGPROC		pg_proc.oid	"conversion procedure"
6	condefault	BOOL			"true if this is the default conversion"
