Name	Type	Nullable	Default
name	text	true
ident	text	true
parent	text	true
level	integer	true
total_bytes	bigint	true
total_nblocks	bigint	true
free_bytes	bigint	true
free_chunks	bigint	true
used_bytes	bigint	true
