Index	Name	Type	Nullable	References	Description
1	rolname	name			"role name"
2	rolsuper	bool			"role has superuser privileges"
3	rolinherit	bool			"role automatically inherits privileges of roles it is a member of"
4	rolcreaterole	bool			"role may create more roles"
5	rolcreatedb	bool			"role may create databases"
6	rolcatupdate	bool			"role may update system catalogs directly. (even a superuser may not do this unless this column is true.)"
7	rolcanlogin	bool			"role may log in, that is, this role can be given as the initial session authorization identifier."
8	rolconnlimit	int4			"for roles that can log in, this sets maximum number of concurrent connections this role can make. -1 means no limit."
9	rolpassword	text			"password (possibly encrypted); null if none"
10	rolvaliduntil	timestamptz			"password expiry time (only used for password authentication); null if no expiration"
11	rolconfig	text[]			"session defaults for run-time configuration variables"
