Name	Type	Nullable	References	Description
groname	name	true	pg_authid.rolname	"name of the group"
grosysid	oid	true	pg_authid.oid	"id of this group"
grolist	oid[]	true	pg_authid.oid	"an array containing the ids of the roles in this group"
