Name	Type	References	Description
castsource	oid	pg_type.oid	OID of the source data type
casttarget	oid	pg_type.oid	OID of the target data type
castfunc	oid	pg_proc.oid	The OID of the function to use to perform this cast.\n Zero is stored if the cast method doesn't require a function.
castcontext	char	 	Indicates what contexts the cast can be invoked in.\n e means only as an explicit cast (using CAST or :: syntax). a means implicitly in assignment to a target column, as well as explicitly. i means implicitly in expressions, as well as the other cases.
castmethod	char	 	Indicates how the cast is performed. f means that the function specified in the\n castfunc field is used. i means that the input/output functions are used. b means that the types are binary-coercible, thus no conversion is required.
