relation	type	version
relcheck	catalog	7.1,7.2
replication_origin	catalog	9.5,9.6,10,11,12,13,14
replication_origin-status	view	9.5,9.6,10,11,12,13,14
replication_slots	catalog	9.4
replication_slots	view	9.5,9.6,10,11,12,13,14
rewrite	catalog	7.2,7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
roles	view	8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
rules	view	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
seclabel	catalog	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
seclabels	view	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
sequence	catalog	10,11,12,13,14
sequences	view	10,11,12,13,14
settings	view	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
shadow	catalog	7.1,7.2,7.3,7.4,8.0
shadow	view	8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
shdepend	catalog	8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
shdescription	catalog	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
shmem_allocations	view	13,14
shseclabel	catalog	9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
statistic	catalog	7.2,7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
statistic_ext	catalog	10,11,12,13,14
statistic_ext-data	catalog	12,13,14
stats	view	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
stats_ext	view	12,13,14
stats_ext-exprs	view	14
subscription	catalog	10,11,12,13,14
subscription_rel	catalog	10,11,12,13,14
tables	view	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
tablespace	catalog	8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
timezone_abbrevs	view	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
timezone_names	view	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
transform	catalog	9.5,9.6,10,11,12,13,14
trigger	catalog	7.2,7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
ts_config	catalog	8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
ts_config-map	catalog	8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
ts_dict	catalog	8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
ts_parser	catalog	8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
ts_template	catalog	8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
type	catalog	7.1,7.2,7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
user	view	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
user_mapping	catalog	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
user_mappings	view	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
views	view	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
