Index	Name	Type	Nullable	References	Description
1	objoid	oid			"the oid of the specific object"
2	classoid	oid			"the oid of the system catalog the object is in"
3	objsubid	int4			"for a table column, this is the column number (the objoid and classoid refer to the table itself). for all other object types, this column is zero."
4	privtype	char			"a code defining the type of initial privilege of this object; see text"
5	initprivs	aclitem[]			"the initial access privileges; see section 5.7 for details"
