0	mapcfg	OID			"the oid of the pg_ts_config entry owning this map entry"
1	maptokentype	INT4			"a token type emitted by the configuration's parser"
2	mapseqno	INT4			"order in which to consult this entry (lower mapseqnos first)"
3	mapdict	OID			"the oid of the text search dictionary to consult"
