Index	Name	Type	Nullable	References	Description
1	seqrelid	oid	false		"the oid of the pg_class entry for this sequence"
2	seqtypid	oid	false		"data type of the sequence"
3	seqstart	int8	false		"start value of the sequence"
4	seqincrement	int8	false		"increment value of the sequence"
5	seqmax	int8	false		"maximum value of the sequence"
6	seqmin	int8	false		"minimum value of the sequence"
7	seqcache	int8	false		"cache size of the sequence"
8	seqcycle	bool	false		"whether the sequence cycles"
