Index	Name	Type	Nullable	References	Description
1	oid	oid			"row identifier"
2	rulename	name			"rule name"
3	ev_class	oid			"the table this rule is for"
4	ev_type	char			"event type that the rule is for: 1 = select, 2 = update, 3 = insert, 4 = delete"
5	ev_enabled	char			"controls in which session_replication_role modes the rule fires. o = rule fires in ""origin"" and ""local"" modes, d = rule is disabled, r = rule fires in ""replica"" mode, a = rule fires always."
6	is_instead	bool			"true if the rule is an instead rule"
7	ev_qual	pg_node_tree			"expression tree (in the form of a nodetostring() representation) for the rule's qualifying condition"
8	ev_action	pg_node_tree			"query tree (in the form of a nodetostring() representation) for the rule's action"
