Index	Name	Type	Nullable	References	Description
0	oid	oid			"row identifier"
1	nspname	name			"name of the namespace"
2	nspowner	oid			"owner of the namespace"
3	nspacl	aclitem[]			"access privileges; see section 5.7 for details"
