Index	Name	Type	Nullable	References	Description
1	oid	oid	false		"row identifier"
2	oprname	name	false		"name of the operator"
3	oprnamespace	oid	false		"the oid of the namespace that contains this operator"
4	oprowner	oid	false		"owner of the operator"
5	oprkind	char	false		"b = infix operator (""both""), or l = prefix operator (""left"")"
6	oprcanmerge	bool	false		"this operator supports merge joins"
7	oprcanhash	bool	false		"this operator supports hash joins"
8	oprleft	oid	false		"type of the left operand (zero for a prefix operator)"
9	oprright	oid	false		"type of the right operand"
10	oprresult	oid	false		"type of the result (zero for a not-yet-defined ""shell"" operator)"
11	oprcom	oid	false		"commutator of this operator (zero if none)"
12	oprnegate	oid	false		"negator of this operator (zero if none)"
13	oprcode	regproc	false		"function that implements this operator (zero for a not-yet-defined ""shell"" operator)"
14	oprrest	regproc	false		"restriction selectivity estimation function for this operator (zero if none)"
15	oprjoin	regproc	false		"join selectivity estimation function for this operator (zero if none)"
