Name	Type	References	Description
conname	name	 	Conversion name (unique within a namespace)
connamespace	oid	pg_namespace.oid	The OID of the namespace that contains this\n conversion
conowner	int4	pg_shadow.usesysid	Owner of the conversion
conforencoding	int4	 	Source encoding ID
contoencoding	int4	 	Destination encoding ID
conproc	regproc	pg_proc.oid	Conversion procedure
condefault	bool	 	True if this is the default conversion
