Index	Name	Type	References	Description
0	lanname	NAME			"name of the language (to be specified when creating a function)"
1	lanispl	BOOL			"this is false for internal languages (such as sql) and true for dynamically loaded language handler modules. it essentially means that, if it is true, the language may be dropped."
2	lanpltrusted	BOOL			"this is a trusted language. see under create language what this means. if this is an internal language (lanispl is false) then this field is meaningless."
3	lanplcallfoid	OID		pg_proc.oid	"for non-internal languages this references the language handler, which is a special function that is responsible for executing all functions that are written in the particular language."
4	lancompiler	TEXT			"not currently used"
