Index	Name	Type	Nullable	References	Description
1	rolname	name	true		<undocumented>
2	rolsuper	boolean	true		<undocumented>
3	rolinherit	boolean	true		<undocumented>
4	rolcreaterole	boolean	true		<undocumented>
5	rolcreatedb	boolean	true		<undocumented>
6	rolcatupdate	boolean	true		<undocumented>
7	rolcanlogin	boolean	true		<undocumented>
8	rolreplication	boolean	true		<undocumented>
9	rolconnlimit	integer	true		<undocumented>
10	rolpassword	text	true		<undocumented>
11	rolvaliduntil	"timestamp with time zone"	true		<undocumented>
12	rolconfig	text[]	true		<undocumented>
13	oid	oid	true		<undocumented>
ol	true		"role is a replication role. that is, this role can initiate streaming replication and set/unset the system backup mode using pg_start_backup and pg_stop_backup"
9	rolconnlimit	int4	true		"for roles that can log in, this sets maximum number of concurrent connections this role can make. -1 means no limit."
10	rolpassword	text	true		"not the password (always reads as ********)"
11	rolvaliduntil	timestamptz	true		"password expiry time (only used for password authentication); null if no expiration"
12	rolconfig	text[]	true		"role-specific defaults for run-time configuration variables"
13	oid	oid	true		"id of role"
