Name	Type	Nullable	References	Description
classoid	oid		pg_class.oid	"the oid of the system catalog this object appears in"
description	text			"arbitrary text that serves as the description of this object"
objoid	oid		"any oid column"	"the oid of the object this description pertains to"
objsubid	int4			"for a comment on a table column, this is the column number (the objoid and classoid refer to the table itself). for all other object types, this column is zero"
