Index	Name	Type	Nullable	References	Description
1	sourcefile	text			"full path name of the configuration file"
2	sourceline	integer			"line number within the configuration file where the entry appears"
3	seqno	integer			"order in which the entries are processed (1..n)"
4	name	text			"configuration parameter name"
5	setting	text			"value to be assigned to the parameter"
6	applied	boolean			"true if the value can be applied successfully"
7	error	text			"if not null, an error message indicating why this entry could not be applied"
