Name	Type	Description
name	text	The identifier of the prepared statement
statement	text	The query string submitted by the client to create\n this prepared statement. For prepared statements created via SQL, this is the PREPARE statement submitted by the client. For prepared statements created via the frontend/backend protocol, this is the text of the prepared statement itself
prepare_time	timestamptz	The time at which the prepared statement was\n created
parameter_types	regtype[]	The expected parameter types for the prepared\n statement in the form of an array of regtype. The OID corresponding to an element of this array can be obtained by casting the regtype value to oid
from_sql	boolean	true if the prepared\n statement was created via the PREPARE SQL statement; false if the statement was prepared via the frontend/backend protocol
