Index	Name	Type	Nullable	References	Description
0	amname	name			"name of the access method"
1	amowner	int4		pg_shadow.usesysid	"user id of the owner (currently not used)"
2	amstrategies	int2			"number of operator strategies for this access method"
3	amsupport	int2			"number of support routines for this access method"
4	amorderstrategy	int2			"zero if the index offers no sort order, otherwise the strategy number of the strategy operator that describes the sort order"
5	amcanunique	bool			"does the access method support unique indexes?"
6	amcanmulticol	bool			"does the access method support multicolumn indexes?"
7	amindexnulls	bool			"does the access method support null index entries?"
8	amconcurrent	bool			"does the access method support concurrent updates?"
9	amgettuple	regproc		pg_proc.oid	"""next valid tuple"" function"
10	aminsert	regproc		pg_proc.oid	"""insert this tuple"" function"
11	ambeginscan	regproc		pg_proc.oid	"""start new scan"" function"
12	amrescan	regproc		pg_proc.oid	"""restart this scan"" function"
13	amendscan	regproc		pg_proc.oid	"""end this scan"" function"
14	ammarkpos	regproc		pg_proc.oid	"""mark current scan position"" function"
15	amrestrpos	regproc		pg_proc.oid	"""restore marked scan position"" function"
16	ambuild	regproc		pg_proc.oid	"""build new index"" function"
17	ambulkdelete	regproc		pg_proc.oid	"bulk-delete function"
18	amvacuumcleanup	regproc		pg_proc.oid	"post-vacuum cleanup function"
19	amcostestimate	regproc		pg_proc.oid	"function to estimate cost of an index scan"
