Index	Name	Type	Nullable	References	Description
0	name	text			"run-time configuration parameter name"
1	setting	text			"current value of the parameter"
2	category	text			"logical group of the parameter"
3	short_desc	text			"a brief description of the parameter"
4	extra_desc	text			"additional, more detailed, information about the parameter"
5	context	text			"context required to set the parameter's value"
6	vartype	text			"parameter type (bool, integer, real, or string)"
7	source	text			"source of the current parameter value"
8	min_val	text			"minimum allowed value of the parameter (null for nonnumeric values)"
9	max_val	text			"maximum allowed value of the parameter (null for nonnumeric values)"
