Index	Name	Type	Nullable	References	Description
1	schemaname	name	true		<undocumented>
2	sequencename	name	true		<undocumented>
3	sequenceowner	name	true		<undocumented>
4	data_type	regtype	true		<undocumented>
5	start_value	bigint	true		<undocumented>
6	min_value	bigint	true		<undocumented>
7	max_value	bigint	true		<undocumented>
8	increment_by	bigint	true		<undocumented>
9	cycle	boolean	true		<undocumented>
10	cache_size	bigint	true		<undocumented>
11	last_value	bigint	true		<undocumented>
ol	true		"whether the sequence cycles"
10	cache_size	int8	true		"cache size of the sequence"
11	last_value	int8	true		"the last sequence value written to disk. if caching is used, this value can be greater than the last value handed out from the sequence. null if the sequence has not been read from yet. also, if the current user does not have usage or select privilege on the sequence, the value is null."
