Index	Name	Type	Nullable	References	Description
-2	oid	oid	false		"row identifier (hidden attribute; must be explicitly selected)"
1	amopfamily	oid	false		"the operator family this entry is for"
2	amoplefttype	oid	false		"left-hand input data type of operator"
3	amoprighttype	oid	false		"right-hand input data type of operator"
4	amopstrategy	int2	false		"operator strategy number"
5	amoppurpose	char	false		"operator purpose, either s for search or o for ordering"
6	amopopr	oid	false		"oid of the operator"
7	amopmethod	oid	false		"index access method operator family is for"
8	amopsortfamily	oid	false		"the btree operator family this entry sorts according to, if an ordering operator; zero if a search operator"
