Index	Name	Type	Nullable	References	Description
-2	oid	oid	false		"row identifier (hidden attribute; must be explicitly selected)"
1	oprname	name	false		"name of the operator"
2	oprnamespace	oid	false		"the oid of the namespace that contains this operator"
3	oprowner	oid	false		"owner of the operator"
4	oprkind	char	false		"b = infix (""both""), l = prefix (""left""), r = postfix (""right"")"
5	oprcanmerge	bool	false		"this operator supports merge joins"
6	oprcanhash	bool	false		"this operator supports hash joins"
7	oprleft	oid	false		"type of the left operand"
8	oprright	oid	false		"type of the right operand"
9	oprresult	oid	false		"type of the result"
10	oprcom	oid	false		"commutator of this operator, if any"
11	oprnegate	oid	false		"negator of this operator, if any"
12	oprcode	regproc	false		"function that implements this operator"
13	oprrest	regproc	false		"restriction selectivity estimation function for this operator"
14	oprjoin	regproc	false		"join selectivity estimation function for this operator"
