Index	Name	Type	References	Description
0	oid	OID			"row identifier (hidden attribute; must be explicitly selected)"
1	collname	NAME			"collation name (unique per namespace and encoding)"
2	collnamespace	OID		pg_namespace.oid	"the oid of the namespace that contains this collation"
3	collowner	OID		pg_authid.oid	"owner of the collation"
4	collencoding	INT4			"encoding in which the collation is applicable, or -1 if it works for any encoding"
5	collcollate	NAME			"lc_collate for this collation object"
6	collctype	NAME			"lc_ctype for this collation object"
