Index	Name	Type	Nullable	References	Description
-2	oid	oid	false		"row identifier (hidden attribute; must be explicitly selected)"
1	opcmethod	oid	false		"index access method operator class is for"
2	opcname	name	false		"name of this operator class"
3	opcnamespace	oid	false		"namespace of this operator class"
4	opcowner	oid	false		"owner of the operator class"
5	opcfamily	oid	false		"operator family containing the operator class"
6	opcintype	oid	false		"data type that the operator class indexes"
7	opcdefault	bool	false		"true if this operator class is the default for opcintype"
8	opckeytype	oid	false		"type of data stored in index, or zero if same as opcintype"
