Index	Name	Type	Nullable	References	Description
0	tmplname	name			"name of the language this template is for"
1	tmpltrusted	boolean			"true if language is considered trusted"
2	tmpldbacreate	boolean			"true if language may be created by a database owner"
3	tmplhandler	text			"name of call handler function"
4	tmplinline	text			"name of anonymous-block handler function, or null if none"
5	tmplvalidator	text			"name of validator function, or null if none"
6	tmpllibrary	text			"path of shared library that implements language"
7	tmplacl	aclitem[]			"access privileges for template (not actually used)"
