Name	Type	References	Description
objoid	oid	"any oid column"	"the oid of the object this security label pertains to"
classoid	oid	pg_class.oid	"the oid of the system catalog this object appears in"
provider	text		"the label provider associated with this label."
label	text		"the security label applied to this object."
