Name	Type	References	Description
opcamid	oid	pg_am.oid	"index access method operator class is for"
opcname	name		"name of this operator class"
opcnamespace	oid	pg_namespace.oid	"namespace of this operator class"
opcowner	int4	pg_shadow.usesysid	"operator class owner"
opcintype	oid	pg_type.oid	"input data type of the operator class"
opcdefault	bool		"true if this operator class is the default for opcintype"
opckeytype	oid	pg_type.oid	"type of index data, or zero if same as opcintype"
